"id","name"
"1","MUMBAI"
"2","VASAI"
"3","NAVI MUMBAI"
"4","THANE"
"5","RAIGAD"
"6","BHAYANDAR"
"7","KALYAN"
"8","PANVEL"
"9","DOMBIVLI"
"10","BHIWANDI"
"11","PEN"
"12","PUNE"
"13","NAGPUR"
"14","AURANGABAD"
"15","KANKAVLI"
"16","NASHIK"
"17","CHAKAN"
"18","NANDED"
"19","TALEGAONDABHADE"
"20","AHMEDNAGAR"
"21","VADODARA"
"22","AHMEDABAD"
"23","UDUPI"
"24","MANGALORE"
"25","AKOLA"
"26","BORGAON-MANJU"
"27","PALSO"
"28","MHYSANG"
"29","GANDHIGRAM"
"30","PATUR NANDAPUR"
"31","KURANKHED"
"32","GOREGAON(KHURD)"
"33","UMRI"
"34","BARSI-TAKLI"
"35","PINJAR"
"36","MAHAN"
"37","KANHERI SARAP"
"38","DHABA"
"39","AKOT"
"40","CHAUHATTA"
"41","KUTASA"
"42","MUNDGAON"
"43","TELHARA"
"44","HIWARKHED"
"45","DANAPUR"
"46","PATHARDI"
"47","ADGAON BK"
"48","BALAPUR"
"49","URAL(BK)"
"50","WADEGAON"
"51","NIMBA"
"52","PARAS"
"53","VYALA"
"54","PATUR"
"55","CHANNI"
"56","ALEGAON"
"57","BABULGAON"
"58","SASTI"
"59","MURTIZAPUR"
"60","MANA"
"61","KURUM"
"62","KARANJA"
"63","KAMARGAON"
"64","UMBARDA BAZAR"
"65","DHANAJ BUDRUK"
"66","KAJALESHWAR"
"67","MANGRULPIR"
"68","SELU BAZAR"
"69","MANORA"
"70","SHENDURJANA"
"71","POHARADEVI"
"72","WASHIM"
"73","ANSING"
"74","PARDI TAKMOR"
"75","MALEGAON"
"76","KINHIRAJA"
"77","SHIRPUR"
"78","MEDSHI"
"79","JAULKA"
"80","RISOD"
"81","RITHAD"
"82","KENWAD"
"83","MANGRUL ZANAK"
"84","MASALA PEN"
"85","WAKAD"
"86","KASOLA"
"87","ASEGAON"
"88","INZORI"
"89","ADHALGAON"
"90","ALKUTI"
"91","AMRAPUR"
"92","AMBI"
"93","ARADGAON"
"94","ARANGAON"
"95","ASHOKNAGAR"
"96","ASHWI BDK"
"97","ASHWI KHURD"
"98","ASTAGAON"
"99","BABHALESHWAR"
"100","BALAMTAKALI"
"101","RIO"
